10 3581 14235
0 261 -0.261423 0.273953
0 289 0.154756 -0.174163
2 289 0.28868 -0.101954
0 289 0.157527 -0.173237
0 290 0.164915 -0.167683
2 290 0.297917 -0.0954735
0 291 0.183388 -0.153796
2 291 0.311771 -0.0852901
0 292 0.186159 -0.151945
2 292 0.311771 -0.085105
0 293 0.236034 -0.136207
2 293 0.381596 -0.0566212
0 294 0.242499 -0.126949
2 294 0.349639 -0.0649234
0 295 0.244347 -0.125098
2 295 0.351486 -0.0639977
0 296 0.309 -0.10936
2 296 0.427223 -0.0408537
0 297 0.307153 -0.103805
2 297 0.426299 -0.0362249
0 298 0.165839 -0.093622
2 298 0.292375 -0.0297446
0 298 0.169534 -0.0908447
0 299 0.182464 -0.0760326
2 299 0.307153 -0.013081
0 300 0.184311 -0.074181
2 300 0.309 -0.0112294
2 0 0.26559 -0.00474913
0 301 0.190777 -0.0695522
2 301 0.316204 -0.00734124
0 302 0.195395 -0.0686265
2 302 0.317312 -0.00660065
0 303 0.0707064 -0.0417795
2 303 0.196725 0.012433
0 304 0.106728 -0.0380764
2 304 0.235295 0.0190984
0 305 0.116887 -0.0352992
2 305 0.235295 0.0193206
0 306 0.224027 -0.0334476
2 306 0.35241 0.0295039
0 307 0.228645 -0.020487
2 307 0.355181 0.0415388
0 308 0.214791 0.0295039
2 308 0.330613 0.0815316
0 309 0.214791 0.0322812
2 309 0.329504 0.0848643
0 310 0.184311 0.0359843
2 310 0.303458 0.0878267
0 311 0.246194 0.0359843
2 311 0.364971 0.0904189
2 2 0.368296 0.0926407
2 3 0.333716 0.0910854
2 4 0.406903 0.100787
0 312 0.343174 0.0452418
2 312 0.451422 0.100417
0 313 0.284986 0.0470934
2 313 0.402345 0.10175
0 314 0.291451 0.0480191
2 314 0.409527 0.104416
0 315 0.299764 0.0498706
2 315 0.419834 0.107268
0 316 0.357028 0.0572767
2 316 0.464722 0.113748
0 317 0.359799 0.0582025
2 317 0.465387 0.113748
2 7 0.296254 0.134855
2 8 0.325071 0.153741
0 318 0.195395 0.106342
2 318 0.325625 0.156333
0 319 0.197242 0.106342
2 319 0.327472 0.158184
2 10 0.322854 0.160962
2 11 0.32932 0.163739
0 320 0.1917 0.118377
2 320 0.321007 0.168368
0 321 0.257277 0.119303
2 321 0.394896 0.173922
2 12 0.444772 0.172997
2 13 0.303458 0.177625
0 322 0.175999 0.133189
2 322 0.305305 0.181328
2 15 0.313987 0.182624
2 18 0.304382 0.198918
0 323 0.179693 0.154481
2 323 0.308076 0.200769
0 324 0.181541 0.156333
2 324 0.310847 0.203547
0 325 0.200937 0.15911
2 325 0.330243 0.206324
0 326 0.205555 0.15911
2 326 0.334861 0.206324
2 19 0.32932 0.209101
0 327 0.205555 0.161887
2 327 0.333938 0.209101
2 27 -0.150408 0.249279
2 28 -0.150962 0.249835
2 29 -0.143573 0.249835
2 31 -0.187907 0.253538
0 328 -0.334762 0.223913
2 328 -0.186318 0.25239
2 32 -0.195296 0.253538
0 329 -0.358776 0.225765
2 329 -0.202685 0.254463
0 330 -0.282116 0.226691
2 330 -0.131566 0.257241
2 33 0.331721 0.269275
2 34 0.325071 0.270386
0 331 -0.291352 0.230394
2 331 -0.137108 0.260018
0 331 -0.287657 0.230394
2 36 0.312694 0.275756
0 332 -0.326449 0.248909
2 332 -0.164816 0.277052
0 333 -0.378172 0.252612
2 333 -0.210074 0.28131
0 334 -0.367089 0.253538
2 334 -0.19899 0.282236
0 335 -0.31906 0.253538
2 335 -0.154656 0.283162
0 336 -0.315366 0.253538
2 336 -0.151886 0.283162
0 337 -0.374478 0.254463
2 337 -0.206379 0.283162
0 338 -0.321831 0.255389
2 338 -0.157427 0.284088
0 339 -0.380943 0.259092
2 339 -0.210074 0.286865
0 340 -0.325526 0.260018
2 340 -0.160383 0.289272
0 341 0.268361 0.260018
2 341 0.389355 0.300751
0 342 -0.379096 0.261869
2 342 -0.208226 0.289642
0 343 -0.377248 0.265572
2 343 -0.204532 0.293345
0 344 -0.371707 0.265572
2 344 -0.200837 0.293345
0 345 -0.352311 0.272978
2 345 -0.184212 0.299825
0 346 -0.352311 0.278533
2 346 -0.183289 0.30538
0 347 -0.31906 0.280385
2 347 -0.152809 0.308157
0 348 -0.392026 0.282236
2 348 -0.21931 0.309083
0 349 -0.386485 0.283162
2 349 -0.218017 0.309268
0 350 0.286833 0.297974
2 350 0.39582 0.334079
0 351 -0.397568 0.300751
2 351 -0.225775 0.326672
0 352 -0.408651 0.30538
2 352 -0.236858 0.330376
0 353 -0.402186 0.310935
2 353 -0.230393 0.33593
0 353 -0.404033 0.31186
0 354 -0.318137 0.31186
2 354 -0.15558 0.336856
0 355 -0.31906 0.315563
2 355 -0.153733 0.340559
0 356 0.231416 0.315563
2 356 0.345945 0.349816
0 357 -0.345845 0.317415
2 357 -0.17867 0.34241
0 358 -0.396644 0.319266
2 358 -0.225775 0.343336
0 359 -0.399415 0.325747
2 359 -0.2291 0.349261
0 360 -0.307053 0.327598
2 360 -0.14542 0.351668
0 361 -0.336609 0.328524
2 361 -0.174052 0.351668
0 360 -0.309824 0.328524
0 362 -0.332915 0.330376
2 362 -0.170358 0.35352
0 363 -0.331067 0.330376
2 363 -0.166663 0.35352
0 364 -0.31629 0.330376
2 364 -0.154656 0.354445
0 365 -0.334762 0.331301
2 365 -0.172205 0.354445
0 366 -0.327373 0.331301
2 366 -0.163893 0.355371
0 367 -0.313519 0.331301
2 367 -0.150038 0.355371
0 368 -0.308901 0.331301
2 368 -0.146344 0.354445
0 369 -0.336609 0.34241
2 369 -0.174052 0.364629
0 370 -0.33938 0.344262
2 370 -0.174976 0.367406
0 371 -0.307053 0.347039
2 371 -0.14542 0.370183
0 372 0.154386 -0.173978
2 372 0.284986 -0.103805
0 289 0.157711 -0.172867
0 372 0.164361 -0.168423
0 373 0.167686 -0.166201
2 373 0.297362 -0.0962141
0 374 0.171011 -0.165091
2 374 0.291451 -0.101028
0 375 0.177661 -0.158425
2 375 0.308446 -0.0873268
0 291 0.180986 -0.156203
0 292 0.183203 -0.153981
0 292 0.18542 -0.15176
0 376 0.195395 -0.140651
2 376 0.356104 -0.0565916
0 376 0.197612 -0.138429
0 377 0.236404 -0.136207
2 377 0.343174 -0.074181
0 378 0.233079 -0.135096
2 378 0.340403 -0.0732553
0 379 0.241945 -0.12732
2 379 0.349454 -0.0662195
0 294 0.244162 -0.126209
0 380 0.282954 -0.110656
2 380 0.392769 -0.0483027
0 381 0.174336 -0.0873268
2 381 0.300687 -0.0232643
0 382 0.175445 -0.0839941
2 382 0.301796 -0.0206722
0 382 0.177661 -0.0817722
0 383 0.118919 -0.0706631
2 383 0.262819 -0.00474913
0 301 0.190962 -0.0695522
0 303 0.0712606 -0.0428904
0 384 0.106728 -0.0384467
2 384 0.231305 0.0177653
0 307 0.228645 -0.0206722
0 385 0.240837 0.0237643
2 385 0.36257 0.0804207
0 386 0.169903 0.0326515
2 386 0.287387 0.0848643
0 387 0.214237 0.0326515
2 387 0.329726 0.08442
0 311 0.24527 0.0348734
0 388 0.183203 0.0359843
2 388 0.299136 0.0870861
0 389 0.289604 0.0370952
2 389 0.434797 0.10375
0 390 0.288496 0.0437607
2 390 0.406867 0.100417
0 391 0.342804 0.0448715
2 391 0.452087 0.100417
0 313 0.284062 0.0459825
0 392 0.300687 0.0493152
2 392 0.421497 0.107083
0 317 0.357213 0.0570916
0 317 0.35943 0.0582025
2 6 0.314542 0.119303
2 60 0.45955 0.140595
0 393 0.353888 0.089308
2 393 0.473404 0.145224
0 394 0.193178 0.101528
2 394 0.322854 0.15263
0 8 0.195395 0.102639
2 9 0.47248 0.157259
2 61 0.325071 0.155963
2 62 0.327288 0.158184
0 395 0.19207 0.109304
2 395 0.321746 0.160406
2 64 0.321746 0.167072
0 321 0.256354 0.118192
0 12 0.321746 0.119303
0 396 0.270762 0.125968
2 396 0.408751 0.181328
2 67 0.304012 0.17707
0 322 0.176553 0.133744
0 397 0.326179 0.135966
2 397 0.447543 0.187809
2 71 0.434797 0.20151
2 72 0.437383 0.201695
2 73 0.304012 0.199288
0 398 0.204262 0.153741
2 398 0.333938 0.201695
0 326 0.20537 0.158184
0 19 0.195395 0.160406
2 19 0.328396 0.208175
0 399 0.20537 0.161517
2 399 0.332829 0.209286
2 20 0.452161 0.22021
2 75 0.456779 0.223913
2 76 0.433688 0.223728
2 29 -0.143758 0.249279
0 400 -0.297817 0.221506
2 400 -0.148191 0.251501
0 31 -0.342151 0.223728
2 79 -0.167698 0.253723
0 401 -0.358776 0.224839
